Title,SubTitle,Rating,ItemPrice,TrendingPrice,ItemLink
Sceptre 34-Inch Curved Ultrawide WQHD Monitor 3440 X 1440 R1500 C345B-QUT168, Brand New,5.0 out of 5 stars.,$296.99,$329.99,https://www.ebay.com/itm/146257633980?_skw=ultrawide+monitor&epid=14062399215&hash=item220da262bc:g:cQUAAOSwYaVnVyur&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnyq8Vv68ybAcqEGOBW5%2Fdd5WHFw8us9ssJb6yvRwmo47u0LWI%2Bln87bNipLv3zepMN2%2FQ%2BPO3960TBrECaOD00qNKI3MVyTE%2FAkSgtdOJtvsxGyI4e8nmwgTMwibBkx%2F0CqEk6wjvt9Fmy%2BPZ3oQeNLPgAQ2yNOX20Bf0z3%2FyslBYd2i8Hh0XhH6ih7g87MKPoUYqZ4KBrHcKA18tRgvzTybP6qpdrAMVUdBW9127HuKlVDa48m6LiZYYyCkCSq%2FH3a6U%2B%2FjiObK%2FDuTSOIeKLR1P%2FzoP3X2POI8yJb%2B%2FgJg%3D%3D%7Ctkp%3ABk9SR9rNh-2KZQ
LG 29WQ500 29 Inch UltraWide FHD IPS HDR10 Black Monitor with AMD FreeSync,Authorized Dealer - Full USA Warranty Brand New,None,$145.99,$198.99,https://www.ebay.com/itm/375736744627?_skw=ultrawide+monitor&epid=10055717406&hash=item577ba7bab3:g:tuQAAOSwbtxnaa9I&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmXolOvMyEyoFyQ4HZGBJVf2qiJjVtOUsdlWtR142xNHU6vG2oHDOqqWPYEVl10lQla1qG5xZiGUS9TvujdeA28coHoGW%2B6ucIBTse54d7VlcU%2FvpluDUQigOJJeqm4J6AFazdvnZ4T9%2BTjeYTYbEKnsttvplE1moODJSUcAh4GHjQiPLDSQai7GAR4bcWmT22pm3liZm8TNvacdFoKtVxakNkclKkDBHvWTWVyvALzNp1LlGsMXaP2oXczZyXjMHQSXGENv2QOOYn17%2BATof09l%2FcbcuI1pjkmu6KPPT2TuA%3D%3D%7Ctkp%3ABk9SR9rNh-2KZQ
LESOWN 8.8 inch Monitor PC Case Temperature Display Mini Ultra Wide Monitor, Brand New,None,$133.13,None,https://www.ebay.com/itm/176771247420?_skw=ultrawide+monitor&hash=item2928632d3c:g:kWMAAOSwc1tneF6~&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkBmQ%2BqsB3sBtEVFy0Bl4cmnXr7lQdrqAdivaRs5fWS3EMgQwFlP%2BmXXd9%2BCL9fR6NPTI6lILn9aUpvmvYp2xRvZ7IL5pZAaR0lgMAqPkB7nxQPrKH7gLGYSjoeD46AQqaIcst8O4WzcVgrBFtv8sskzO%2BOtfjxGo31tHc1eBqbhho9P%2Fy%2FHZYM5v8VurwwV3JFX88YGAeJWEPfH%2FL4VC8W5uJeVDNjGzV%2BsVx7h6AI0MaoIXPv9bQkgFyve05x2pzX0oRxH8MEu0Ua1Uok9LXEWpmWoT3Z%2FUagECQCAD3%2B%2Fg%3D%3D%7Ctkp%3ABFBM2s2H7Ypl
ASUS TUF VG34VQEL1A 34 in UltraWide UWQHD Freesync 1ms Curved Gaming Monitor, Very Good - Refurbished,5.0 out of 5 stars.,$305.16,$427.23,https://www.ebay.com/itm/186734542121?_skw=ultrawide+monitor&epid=18057844673&hash=item2b7a3efd29:g:nMYAAOSwqWFnWTJo&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnUYMuce%2BlrpXxiIv65xydHvQPsxTqajW5%2BQJf%2BLeX7MwvdccR8o%2FO3sHhoh0wN%2FD%2FMPfBlkHMkEpLJt2P56eYmHliTLwmfalvIhG9hJTcOKY3Xem05IgDWsgx3JoxZrOp8QNiHXjnSdskqzrJZhSi8aYitYMSWqZ9YJqkzzLqMj6tlxlI8KHS8v%2FBb4zFb%2BkrFCPNZqN5pYl8NTU7GYkfGUgZjASdpQPIn4cX3gf4lVwbNCEF7KIbkLtU%2F9O1yhSyFTh1WHbPuLpBi189Gi1tUyuu4zVeOEoQ0y1iV60TyJw%3D%3D%7Ctkp%3ABFBM2s2H7Ypl
"LG 20M37D-B 20"" Widescreen LED Backlit LCD Monitor", Brand New,4.0 out of 5 stars.,$25.00,None,https://www.ebay.com/itm/335649300698?_skw=ultrawide+monitor&epid=691305261&hash=item4e2641e0da:g:nJkAAOSwfetnJP85&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKlRIr9p%2FUyXlXq2yxmwRjvU5ag3iGiuRyvAFMtZPD9QedaoGJmKxBCYsWodTn04FFRp6Cjz3jK7utumH9WsCeI1YAHzJfCVDG%2BsF8bSTVlrte5SB1qmWAcL6WgXMiU5ORmt7UDMochgUbGpPL3H%2FfcEZTqdu6dyXx0izYyoTWLyFtwk0FqxZsAjcgB1S%2FO78oLS5SA3qfVz9LlItYpXI9AjYg4LEn1k2D3vmm1m1LODac4yoXa0ArQp1S08A32ucebfghR6rXD6tHE6kzv6nYjUCPon25BGIJHKDky21VCC5g%3D%3D%7Ctkp%3ABFBM2s2H7Ypl
Amcrest 24/7 Surveillance Video Monitor 22 inch PC Computer NVR/DVR Monitor, Brand New,None,$99.99,None,https://www.ebay.com/itm/394718992564?_skw=ultrawide+monitor&epid=26060888996&hash=item5be715d8b4:g:gBAAAOSwvaJkotyX&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKlk1jZkA8u2JwVd0t6MToCV5y5027PoZgVgX5h8aR%2B8XqCEcS17xdj2kgueBL%2FrYFmTi3%2F74fr8xHYIiS6hpsPUc5vIcuQcA5c3LCiSAeOSYdilUrzJCtfV2DZlVOZ7ms6sBpeMsb2jQe2Ejx7PWKsejRgtg8iu90LALrxo%2FL2UIKIXJ7OjENuMlKCe5pWrxQ%2F3cwnCpukpnxfFeUGntSJ%2FNh2CbYWJ%2BvT368VfK4IMYFNAKuakqoW6FYKMPk43%2BOAmxF0Xpk20mMkXlVYo%2BCWsNovHVL2k7L8EemVu6UajrQ%3D%3D%7Ctkp%3ABFBM2s2H7Ypl
"Lepow C2 Portable Monitor 15"" USB-C HDMI Gaming Ultra-Slim IPS Phone Display B", Pre-Owned,None,$45.88,None,https://www.ebay.com/itm/186742959244?_skw=ultrawide+monitor&hash=item2b7abf6c8c:g:zDMAAOSwah1nGC8E&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKksl8flWRcnbfsJ4kvrCGq4ZzUkH2cGdUV%2Fm%2BzCP7%2FSFDHCgrlkM6XBFaUvV9ib7VrW5ejD7zd%2F7LDtkhSuJESBvkm3Bi4I5o%2Fe%2FzFGKAqPTRce5qJAAIPqdfsPamoubMhWw0HuTaOOvDyqDuT4TSDSGJGKYjfpNfAzPQ4FkobH%2BvG2%2Bw3XEKju4spIU6gtPwFzE1Cj83N7gTWbeA%2FmQZB52YulRX94OEp%2B2lPlrZ0731QHnkYnoIZ38JQz2Ne8Eo3zHSSSQPxqLmVjYnK2pHKQFh0PDPhgn8jjorbh5l5CZg%3D%3D%7Ctkp%3ABk9SR9rNh-2KZQ
"Monitor 29 inch, LG Ultrawide 29UM68-P.AEU", Pre-Owned,None,$81.95,None,https://www.ebay.com/itm/205201464614?_skw=ultrawide+monitor&hash=item2fc6f5dd26:g:8V4AAOSwRX5nZtDy&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmJPmB2MJwGCEbnT6BsxHN8Vn0Tj%2B9Jr8Bk%2B02Xrr%2B4Upt%2BQWarFxVUxmX7E84mIJCXzx0HKXRScDfd213Ga%2B1cd3IChoNk%2FTEgY%2BRYAXX0i8vqPzlts--P42DuJAtU1X3du%2BMYq58SY9QJI6%2FN955%2B7MMr3C%2BuQRgkwoyz%2BHwnX3PAKFIr5ddE%2Fm8YzeNUPd%2BfOgoN%2BEFkNEGXIeZ7kj5uC%2FVme9zR2UtajknUpWcqzlO7Ywit3W0lzUj193z5snub3bd0sUd%2FVTIpi5LydNRkj2y5ft4Zn5EiCX8SbDMuqg%3D%3D%7Ctkp%3ABk9SR9zNh-2KZQ
"Dell P2721Q 27 Inch 4K FHD, IP Ultra-Thin Bezel Monitor, USB-C, Display Port", Open Box,5.0 out of 5 stars.,$199.99,None,https://www.ebay.com/itm/375589841900?_skw=ultrawide+monitor&epid=25041895363&hash=item5772e62bec:g:KmgAAOSwDm9mu2rb&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKm79iDdVtb7p%2BkY3xy1qau4skBMuu5A1uXJo4Tf3LfFsY34xCbnViPJTEjV%2FbPlzLqVjG1MVEXjBpHttz5Px1UNaFM%2F9WbDMhe0xTWuyaYAuQ882cNXSBqRU9hcod9i9Oigy2c9SmOtQAPbdSJcskiCR9Nt5Isf5alFhFV8809yl3OUwnTRuBaJZR9vB8suu8PGIKCNlDF3lPD2f2so5cwVZL4DFkazpLeEQwcLNvQSow7m4pGwn0LyY5Rzi0KdiDzhcZGZcOG%2FigxW%2BfzSk%2FNb2t1qP%2B7ebDG47NVBMEFudg%3D%3D%7Ctkp%3ABk9SR9zNh-2KZQ
LG UltraWide Monitor 34in 34WP500-B IPS HDMI on Screen Control AMD FreeSync, Open Box,4.5 out of 5 stars.,$192.49,None,https://www.ebay.com/itm/266968522626?_skw=ultrawide+monitor&epid=3047763124&hash=item3e28905f82:g:O9kAAOSwIMZh5~oc&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkGu7TcDgC8ykP3Sey9Y3TVWNBP%2FfKDTj2Rd%2FBrjMkWw3lj6IEstk9%2BeCH7QQWn76L2qAs0Nd9Gn7902fGLHQYBWlqRtSilgkwDZVQzCLO%2Bg61SIO%2FwqfjS5mcbgTI0lVhTOpjL9%2F6sdXgf9OwV7gVMBNBHefAbXamxZIHLBnOPeWOwrZeywlvt9eZvaFtMhBGiUXPmFnj7xD%2BCdg7XaaO3bk19jURi40Y3hAltzBZbE36fe4TNrDe9kmQlFLnfWto%3D%7Ctkp%3ABk9SR9zNh-2KZQ
"Genuine Sceptre C305B-200UN 30"" Monitor -  Power Supply AC Adapter", Pre-Owned,5.0 out of 5 stars.,$14.99,None,https://www.ebay.com/itm/205218720193?_skw=ultrawide+monitor&epid=28034986813&hash=item2fc7fd29c1:g:rj4AAOSwaqtngr19&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKk7gBFFzJ4WvlaIg3N0laEwjEVsGFGMZp%2BzVQpZXB5VhLR2Ory%2BkJ2ZlOl1eQV%2Bb6c%2FhYSptZRjgHdJjboHAsjnvQTVdxnbw1xI%2Bo90Y%2FRWFoTxs%2BkXRMxPZf27%2FZMoZxsQ4BmYi7AmbyViYt2V47BDOTslOY5sTG8P%2BJCUWNOG%2B8DPls7NtH2q0%2BqCempSo%2FBE5sz7ZZMiJQ7ZWC3r%2FL91VsmDG1qgtgJhdeeQ53IeS0W2kvGS4%2BVJds7%2FtJGquRO0xmJWRRMqnPSI0vcVScM2DGtgNQCvmqtQlLQLW0rVkA%3D%3D%7Ctkp%3ABk9SR9zNh-2KZQ
LG 29WP60G-B 29 Inch 21:9 UltraWide Full HD (2560 x 1080) IPS Monitor-Black, Brand New,4.5 out of 5 stars.,$169.00,None,https://www.ebay.com/itm/126742528763?_skw=ultrawide+monitor&epid=18044882065&hash=item1d827182fb:g:PWsAAOSw46FnGoX-&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKm2Lf4IGYUUW7SULU1%2Fgu1IYbpNL3P%2BZW7yla0TCwpMqvZqQaMq6XoW5D2xZb1n6Gpx4bIs%2Fmp7nXhjWzx2d72lfaXgwWyGQA6wXtKR2uga5LxjKeBweQMdvioHrkzyxKuexzDZ7krbVqpNbu2NfIZx8HIUljXYPydDT83cOGrT%2FCBKr6NRlTeSFYDCoxRoJd%2FEiepd3D66UxdplW7B17CNHhgcdangwXG7RmzAVd7WiBHuODNPdyLOLZLdjLC6ceg%3D%7Ctkp%3ABk9SR9zNh-2KZQ
"LG Ultrawide 34WP550-B.AEK 34"" IPS UltraWide 21:9 5ms Full HD Freesync Monitor", Brand New,None,$297.85,$353.99,https://www.ebay.com/itm/186715482327?_skw=ultrawide+monitor&epid=6050778282&hash=item2b791c28d7:g:SVcAAOSwz01nM2CP&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKlkfFHtjiRfKdnGz7GiEILrEu00Ruj0PDkfGPN6r7KMh7G6holh19z8TSqG2abINkrSiXfNeW%2FgGx4kXovJy4YVXZP9FOPf9rmNytG8lm9%2FKdQLxuqKdmnSqZw21u7qQpMccKQLUraAxpJcVZC%2FPw6Bf6gH880n4aXiwHWgHZGOAADZTZanLfOIM%2FHwfHLiYKakOOlIY%2BjwBsdpdNA9RwLbmAU5u9ZMHAov60I%2F9j7WsnZEKWzmrgtF9nDjX6nhowE%3D%7Ctkp%3ABk9SR9zNh-2KZQ
"Samsung S34A654UXN 34"" Viewfinity Ultrawide Curved QHD Monitor 100Hz TESTED", Pre-Owned,None,$135.99,$159.99,https://www.ebay.com/itm/126692056348?_skw=ultrawide+monitor&epid=16045144837&hash=item1d7f6f5d1c:g:0v4AAOSwLs5m9Hsi&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKkL9qFH%2BA8QYCC8dBMfwwSaKeEbysnA2hKqtNhWvMAKXuUvSKxy4CwGyEF6zy5fL%2FRx3yh2ccOB%2FkPq1QXOaX6VUWyGoJQ5hKwa8kwf2EO49FoHCZcRiFiqepILCs8gLXdJozPFj0HtZo0ESFTkiAn3%2F9VGHVcnOJO65O%2B8ncmelD2LA6qZ5KE5ev15Guutq%2BvoxSfdpU182Sh1sje5Ew4tXMI97471EfxsrZwlIebHJkqxqK8SfOe3NIbZqnudKOY%3D%7Ctkp%3ABk9SR9zNh-2KZQ
"30"" Curved Gaming Monitor 21:9 UltraWide 2560x1080 200Hz HDMI DP, Speakers Black", Brand New,None,$189.99,None,https://www.ebay.com/itm/326400544764?_skw=ultrawide+monitor&hash=item4bfefd0ffc:g:FQoAAOSwUZhngOpn&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKm7d4vC1IfPsSfbeo1mOOYwFYq%2BqSu1AfJAesVn83Y4MWdmMVgmLHpE15qatvrQj7tT9oBhEgA2aXl8iKkYKW2lDJOU71ZfDAB3%2FiC4Mn3z9M6a%2F3h0Ar7CZiQmdWc2npN0RVU9CRg%2F%2BwAAQ9PfrUkEtDXkN2Xz4THYSfIWCwxcn0EtOkoMiUhV3uy3oLvUT5er6dEi06vP8l9vA%2FVVdZoiNkaIQDWX4ssgZRBIad6p1S8d8iasRp3LWD%2FhS5f8LVA%3D%7Ctkp%3ABk9SR9zNh-2KZQ
LG 38WN95C-W ULTRAWIDE 38 INCH QHD IPS LED CURVED MONITOR W/ STAND+POWER ADAPTER, Open Box,None,$849.99,None,https://www.ebay.com/itm/326347488153?_skw=ultrawide+monitor&epid=22059190899&hash=item4bfbd37b99:g:uiQAAOSwLphnP913&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKlERHfyOoTSgBrX1gQfu3PjOTt9rBqhF9hrplLtz4aD5hIGMbQqDuD2G3sPDUiLmrh6G7RqRU4GPVD%2BwcwAD2rKxrtZIHTJq2rcCeC9pBrl240NvCYfew6TOUYjvQti1xzkOOHFpDRw6SKe0yuucnI%2BRrlhijeVHS%2F5zEVvfiD4%2FL7K%2Fy5OCFBxUwEtAJZZEVWW5rl%2FsU6AJxLm90TeRs%2FLtBjrfQIi%2BhizUsFUs%2BI38JFn%2F25deTD%2FhZC%2F7pwtCRc%3D%7Ctkp%3ABk9SR9zNh-2KZQ
"Alienware AW3418DW 34"" Ultrawide Gaming Monitor", Pre-Owned,None,$399.99,None,https://www.ebay.com/itm/356297040030?_skw=ultrawide+monitor&hash=item52f4f5609e:g:SqYAAOSw8QlnQhkz&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnJddE50EGHwBqYUTaBst%2F8KDiRbC01vGLqW8BUZYM017Dz7FkTAZrgSFLIrcF0X9xrfH5PDjVEo1enUwwMYp2mRrqUKpVUWp1KzlQ1s9mVYjXOueDaOrByszTuwvzZySShdYgKcXSeuC2Pb%2B0HrQ4NSWn0lvum2An9rMaH%2FoihiZMM%2BHXWJ94Ug3H4dDzz9ZLP97cv7u9fBHCL83zhFN%2FlLBGKiczOJM35tGfTh004brXXF5dSzvts0gN8bqqXyot40Jk18kT02aOITAVAiPIFq1fV9ZiYSEiHUq9qJtlSaw%3D%3D%7Ctkp%3ABk9SR9zNh-2KZQ
"LG 38WN95C-W ULTRAWIDE 38"" Monitor- Stand And Base Assembly ", Brand New,None,$48.99,None,https://www.ebay.com/itm/205218543406?_skw=ultrawide+monitor&epid=22059190899&hash=item2fc7fa772e:g:UCAAAOSwUJ5ngp51&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKnRgvZt%2FkoQ1uSQTw42pkzObQyFjaye8Nu45itCM9ESpnXdjLoOuBt5qm7bxQZy47mTP737Mafse9KZshCrwAllq9iljfYWSOvpWpZEgOugQtsagO0d5io20Z%2F7PKJGPElmEoEOvLYvpjrWfZ6HpTTSi3uobv4SR2CxXQvVwCIqGWKnqy%2B4%2BOR8R1HEEJdsvg1ghzE7Yq7u8MdA1jqtrgVecQ%2BBXymNOOmQiXvA%2F6cTs1ehGk%2BBiQTM84gZN8E9qMDVdIbpPntBAKcsg%2FOpGaIWHmhQyy0LIv%2F5vL5Bqc0l0A%3D%3D%7Ctkp%3ABk9SR9zNh-2KZQ
